DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
2026-06-11 07:00:00,29159.75,29199.25,29155.75,29160.00,29058.39,29377.15,29778.41,62.97
2026-06-11 08:00:00,29160.25,29191.50,29094.75,29183.25,29069.74,29372.05,29770.53,66.61
2026-06-11 09:00:00,29182.50,29197.25,28919.75,29094.75,29072.01,29364.75,29761.58,70.30
2026-06-11 10:00:00,29096.75,29299.00,28933.00,29182.75,29082.08,29359.96,29753.91,74.04
2026-06-11 11:00:00,29181.75,29331.75,29034.75,29086.50,29082.48,29352.76,29745.07,74.98
2026-06-11 12:00:00,29102.25,29189.50,29023.25,29140.25,29087.73,29347.17,29737.06,73.97
2026-06-11 13:00:00,29140.75,29257.50,29045.50,29052.25,29084.51,29339.41,29727.99,70.72
2026-06-11 14:00:00,29053.75,29584.50,28960.75,29496.25,29121.94,29343.54,29724.92,68.65
2026-06-11 15:00:00,29495.75,29594.50,29350.75,29551.00,29160.94,29349.00,29722.62,67.19
2026-06-11 16:00:00,29551.25,29826.50,29511.75,29745.50,29214.09,29359.43,29722.92,67.58
2026-06-11 17:00:00,29746.00,29804.25,29690.25,29715.50,29259.67,29368.80,29722.82,67.70
2026-06-11 19:00:00,29739.00,29873.25,29733.75,29846.00,29312.97,29381.36,29724.45,67.88
2026-06-11 20:00:00,29844.75,29876.00,29776.25,29860.00,29362.70,29393.95,29726.25,67.72
2026-06-11 21:00:00,29858.75,29928.00,29820.25,29870.75,29408.89,29406.50,29728.16,67.99
2026-06-11 22:00:00,29870.50,29870.50,29749.75,29836.50,29447.76,29417.82,29729.60,68.33
2026-06-11 23:00:00,29837.50,29869.25,29790.25,29848.00,29484.15,29429.14,29731.17,68.03
2026-06-12 00:00:00,29847.50,29847.50,29778.00,29814.50,29514.18,29439.28,29732.27,67.42
2026-06-12 01:00:00,29815.00,29837.50,29776.75,29832.50,29543.12,29449.63,29733.60,66.38
2026-06-12 02:00:00,29832.25,29842.25,29665.00,29690.25,29556.49,29455.96,29733.02,65.31
2026-06-12 03:00:00,29691.50,29761.75,29621.25,29645.00,29564.54,29460.93,29731.86,63.48
2026-06-12 04:00:00,29648.75,29743.25,29549.75,29718.50,29578.54,29467.71,29731.68,63.01
2026-06-12 05:00:00,29719.75,29855.00,29706.50,29768.50,29595.80,29475.63,29732.17,62.84
2026-06-12 06:00:00,29769.75,29958.00,29768.00,29914.50,29624.78,29487.18,29734.58,63.56
2026-06-12 07:00:00,29910.75,29948.75,29809.75,29844.75,29644.77,29496.59,29736.04,62.29
2026-06-12 08:00:00,29846.25,29953.50,29843.75,29929.75,29670.68,29507.99,29738.61,61.55
2026-06-12 09:00:00,29929.00,29937.50,29677.50,29699.75,29673.32,29513.03,29738.09,58.89
2026-06-12 10:00:00,29693.75,29792.00,29515.75,29646.25,29670.86,29516.54,29736.88,55.62
2026-06-12 11:00:00,29646.25,29938.00,29625.00,29924.00,29693.88,29527.26,29739.36,52.76
2026-06-12 12:00:00,29929.00,30052.50,29700.75,29733.25,29697.45,29532.68,29739.27,51.73
2026-06-12 13:00:00,29732.00,29970.00,29699.25,29964.25,29721.71,29544.04,29742.25,52.73
2026-06-12 14:00:00,29965.75,30045.00,29941.50,29974.50,29744.69,29555.37,29745.33,53.70
2026-06-12 15:00:00,29975.00,30012.75,29900.00,29938.50,29762.31,29565.45,29747.89,55.06
2026-06-12 16:00:00,29934.50,30003.50,29872.75,29944.00,29778.83,29575.41,29750.49,56.51
2026-06-12 17:00:00,29942.50,30023.50,29936.25,29967.25,29795.96,29585.72,29753.36,58.61
2026-06-14 19:00:00,30191.00,30394.00,30191.00,30345.50,29845.91,29605.72,29761.20,61.29
2026-06-14 20:00:00,30349.50,30370.00,30282.00,30349.25,29891.67,29625.28,29768.99,63.76
2026-06-14 21:00:00,30349.50,30470.00,30339.50,30436.00,29941.16,29646.62,29777.82,64.95
2026-06-14 22:00:00,30438.25,30485.00,30422.00,30466.75,29988.94,29668.20,29786.95,66.21
2026-06-14 23:00:00,30466.50,30511.75,30462.50,30502.00,30035.58,29690.14,29796.42,67.25
2026-06-15 00:00:00,30502.00,30519.50,30480.00,30487.00,30076.62,29711.11,29805.57,69.73
2026-06-15 01:00:00,30488.00,30532.25,30470.00,30529.25,30117.77,29732.64,29815.15,72.91
2026-06-15 02:00:00,30529.00,30546.25,30505.25,30536.75,30155.86,29753.80,29824.71,75.65
2026-06-15 03:00:00,30537.00,30560.00,30519.50,30551.75,30191.85,29774.80,29834.34,78.20
2026-06-15 04:00:00,30552.25,30574.25,30521.75,30545.25,30223.97,29795.08,29843.76,78.67
2026-06-15 05:00:00,30544.50,30628.25,30539.50,30591.75,30257.41,29816.04,29853.66,79.09
2026-06-15 06:00:00,30592.75,30604.25,30509.50,30550.25,30284.03,29835.36,29862.89,77.48
2026-06-15 07:00:00,30549.75,30571.75,30530.00,30561.50,30309.25,29854.47,29872.14,76.43
2026-06-15 08:00:00,30562.50,30622.75,30554.25,30599.25,30335.62,29874.07,29881.77,76.05
2026-06-15 09:00:00,30599.50,30616.75,30538.50,30581.50,30357.97,29892.69,29891.04,75.67
2026-06-15 10:00:00,30581.25,30800.00,30562.50,30703.75,30389.41,29914.03,29901.80,74.58
2026-06-15 11:00:00,30703.75,30800.00,30671.25,30775.00,30424.46,29936.69,29913.37,73.16
2026-06-15 12:00:00,30776.25,30887.00,30772.50,30879.25,30465.80,29961.49,29926.16,72.74
2026-06-15 13:00:00,30879.25,30915.00,30850.50,30867.50,30502.32,29985.34,29938.63,72.63
2026-06-15 14:00:00,30868.00,30893.00,30833.00,30858.75,30534.72,30008.32,29950.82,72.31
2026-06-15 15:00:00,30858.50,30891.00,30824.00,30861.25,30564.41,30030.77,29962.88,70.53
2026-06-15 16:00:00,30861.25,30879.00,30815.00,30872.75,30592.44,30052.92,29974.93,68.76
2026-06-15 17:00:00,30872.50,30894.00,30826.25,30832.00,30614.22,30073.42,29986.28,65.48
2026-06-15 19:00:00,30838.00,30868.00,30755.00,30808.00,30631.83,30092.76,29997.16,63.04
2026-06-15 20:00:00,30806.50,30843.25,30794.75,30835.25,30650.33,30112.30,30008.26,60.71
2026-06-15 21:00:00,30833.50,30853.50,30767.75,30775.25,30661.68,30129.74,30018.42,59.64
2026-06-15 22:00:00,30775.25,30803.75,30755.50,30784.25,30672.83,30146.97,30028.57,58.70
2026-06-15 23:00:00,30784.25,30808.75,30770.00,30782.50,30682.80,30163.69,30038.55,56.73
2026-06-16 00:00:00,30785.00,30860.00,30779.00,30831.50,30696.31,30181.26,30049.06,55.57
2026-06-16 01:00:00,30832.75,30837.00,30794.25,30814.75,30707.08,30197.93,30059.20,54.42
2026-06-16 02:00:00,30815.50,30846.50,30796.00,30805.25,30716.01,30213.92,30069.08,53.13
2026-06-16 03:00:00,30806.50,30838.75,30797.75,30828.00,30726.19,30230.08,30079.13,50.64
2026-06-16 04:00:00,30827.50,30848.50,30808.00,30840.50,30736.58,30246.14,30089.21,48.58
2026-06-16 05:00:00,30841.25,30944.50,30829.00,30927.25,30753.91,30264.06,30100.31,48.55
2026-06-16 06:00:00,30926.00,30931.75,30863.25,30870.25,30764.49,30280.02,30110.51,49.42
2026-06-16 07:00:00,30870.00,30936.75,30869.25,30934.25,30779.92,30297.23,30121.42,50.60
2026-06-16 08:00:00,30932.75,30975.50,30923.50,30940.25,30794.50,30314.15,30132.27,52.24
